"STATE","YEAR","CAPLIABILITY","CAPACCESS","CAPUSES","CAPUNLOADED","CAP18","CAP16","CAP14","state_year","State","State.Code","Year","Year.Code","UCD...Injury.Mechanism...All.Other.Leading.Causes","UCD...Injury.Mechanism...All.Other.Leading.Causes.Code","Deaths","Population","Crude.Rate","Median_Age","White_Pop","Bachelors_Degree","Median_Income","Median_Rent","CAP_Law_Present"
"Louisiana     ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_Louisiana","Louisiana",22,2004,2004,"Firearm","GRINJ-006",59,1055526,"5.6",35.1266666666668,2787118.16190476,356269.990476195,37965.8190476194,596.952380952396,"(0) Law provision is not present"
"Maine         ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_Maine","Maine",23,2004,2004,"Firearm","GRINJ-006",21,262246,"8.0",40.9997750281215,1260241.18278965,141181.664791899,39859.5118110231,620.867829021365,"(0) Law provision is not present"
"Maryland      ",2004,"(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","2004_Maryland","Maryland",24,2004,2004,"Firearm","GRINJ-006",26,1163053,"2.2",37.0666666666667,3447026.88571428,676571.476190485,61275.4380952385,903.761904761923,"(1) Law provision is present"
"Massachusetts ",2004,"(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","2004_Massachusetts","Massachusetts",25,2004,2004,"Firearm","GRINJ-006",12,1317947,"Unreliable",38.4804497189257,5333450.19612742,868792.098688319,53643.6883198009,828.808869456596,"(1) Law provision is present"
"Michigan      ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_Michigan","Michigan",26,2004,2004,"Firearm","GRINJ-006",68,2200902,"3.1",37.2676190476191,7981721.5047619,934633.647619054,43145.1333333338,636.26666666667,"(0) Law provision is not present"
"Minnesota     ",2004,"(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","2004_Minnesota","Minnesota",27,2004,2004,"Firearm","GRINJ-006",55,1115817,"4.9",36.7942857142857,4510327.85714286,664085.123809539,49528.7142857146,643.333333333336,"(1) Law provision is present"
"Mississippi   ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_Mississippi","Mississippi",28,2004,2004,"Firearm","GRINJ-006",34,670477,"5.1",34.76,1753701.44761905,216840.371428572,32534.8380952382,560.666666666672,"(0) Law provision is not present"
"Missouri      ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_Missouri","Missouri",29,2004,2004,"Firearm","GRINJ-006",46,1251209,"3.7",37.1647619047619,4885375.19047619,562100.285714291,40417.5714285716,576.542857142857,"(0) Law provision is not present"
"Montana       ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_Montana","Montana",30,2004,2004,"Firearm","GRINJ-006",20,205679,"9.7",39.3742857142857,832664.066666668,108653.342857144,37542.8380952384,530.628571428584,"(0) Law provision is not present"
"Nebraska      ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_Nebraska","Nebraska",31,2004,2004,"Firearm","GRINJ-006",19,394265,"Unreliable",35.949481865285,1545669.21813472,195770.40207254,42388.1575129535,546.208290155446,"(0) Law provision is not present"
"Nevada        ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_Nevada","Nevada",32,2004,2004,"Firearm","GRINJ-006",16,474338,"Unreliable",34.9190476190477,1891897.68571429,205227.209523812,49700.7428571431,884.514285714286,"(0) Law provision is not present"
"New Jersey    ",2004,"(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","2004_NewJersey","New Jersey",34,2004,2004,"Firearm","GRINJ-006",16,1701272,"Unreliable",38.0209523809524,6091546.8,1171846.87619048,60697.5142857148,933.295238095256,"(1) Law provision is present"
"New Mexico    ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_NewMexico","New Mexico",35,2004,2004,"Firearm","GRINJ-006",43,438469,"9.8",35.2257142857144,1343049.77142858,171459.828571429,38409.4952380955,589.352380952383,"(0) Law provision is not present"
"New York      ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_NewYork","New York",36,2004,2004,"Firearm","GRINJ-006",53,4012074,"1.3",37.3590476190476,12952495.3619047,2183736.23809525,47763.8095238097,816.580952380966,"(0) Law provision is not present"
"North Carolina",2004,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","2004_NorthCarolina","North Carolina",37,2004,2004,"Firearm","GRINJ-006",73,1788201,"4.1",36.1142857142857,6143621.1809524,894087.933333337,39569.9523809529,612.295238095248,"(1) Law provision is present"
"North Dakota  ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_NorthDakota","North Dakota",38,2004,2004,"Firearm","GRINJ-006",13,156669,"Unreliable",38.1399474375822,560903.480946125,71631.4027595269,38881.4270696454,444.788436268071,"(0) Law provision is not present"
"Ohio          ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_Ohio","Ohio",39,2004,2004,"Firearm","GRINJ-006",81,2432566,"3.3",37.6780952380953,9627546.30476191,1061452.74285715,41649.7904761906,600.590476190482,"(0) Law provision is not present"
"Oklahoma      ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_Oklahoma","Oklahoma",40,2004,2004,"Firearm","GRINJ-006",43,790624,"5.4",36.0285714285714,2667396.4952381,329646.971428575,36614.4285714291,538.171428571433,"(0) Law provision is not present"
"Oregon        ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_Oregon","Oregon",41,2004,2004,"Firearm","GRINJ-006",37,744564,"5.0",37.2885714285715,3113663.16190477,401683.066666674,41088.2000000007,631.552380952395,"(0) Law provision is not present"
"Pennsylvania  ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_Pennsylvania","Pennsylvania",42,2004,2004,"Firearm","GRINJ-006",91,2569292,"3.5",39.5695238095238,10436498.3523809,1241881.27619049,43457.2380952388,629.685714285719,"(0) Law provision is not present"
"South Carolina",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_SouthCarolina","South Carolina",45,2004,2004,"Firearm","GRINJ-006",40,916517,"4.4",36.6876190476191,2825180.25714287,384481.057142861,38028.4857142861,591.228571428583,"(0) Law provision is not present"
"South Dakota  ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_SouthDakota","South Dakota",46,2004,2004,"Firearm","GRINJ-006",14,177292,"Unreliable",37.103861003861,671039.104247104,83754.5250965245,39396.4806949808,478.75482625483,"(0) Law provision is not present"
"Tennessee     ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_Tennessee","Tennessee",47,2004,2004,"Firearm","GRINJ-006",63,1234296,"5.1",37.1695238095239,4719961.14285715,525894.952380955,37070.3142857146,568.961904761913,"(0) Law provision is not present"
"Texas         ",2004,"(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","2004_Texas","Texas",48,2004,2004,"Firearm","GRINJ-006",183,5195947,"3.5",32.7152380952381,16109921.5714287,2171741.1809524,41730.7714285715,640.714285714297,"(1) Law provision is present"
"Utah          ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_Utah","Utah",49,2004,2004,"Firearm","GRINJ-006",32,646583,"4.9",27.9638095238096,2246788.44761905,247045.019047622,46817.4666666668,641.304761904772,"(0) Law provision is not present"
"Virginia      ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_Virginia","Virginia",51,2004,2004,"Firearm","GRINJ-006",58,1586638,"3.7",36.8019047619048,5366374.13333333,928609.361904763,53237.5809523817,813.780952380963,"(0) Law provision is not present"
"Washington    ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_Washington","Washington",53,2004,2004,"Firearm","GRINJ-006",55,1332145,"4.1",36.7257142857143,5066477.37142858,748625.600000009,47301.6380952387,676.780952380941,"(0) Law provision is not present"
"West Virginia ",2004,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2004_WestVirginia","West Virginia",54,2004,2004,"Firearm","GRINJ-006",26,358406,"7.3",40.1180952380953,1727317.54285714,123323.876190478,33339.2095238098,463.504761904762,"(0) Law provision is not present"
"Wisconsin     ",2004,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","2004_Wisconsin","Wisconsin",55,2004,2004,"Firearm","GRINJ-006",59,1210889,"4.9",37.5780952380953,4873529.28571429,578041.352380957,45341.6190476192,629.171428571433,"(1) Law provision is present"
"Alabama       ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Alabama","Alabama",1,2005,2005,"Firearm","GRINJ-006",43,980508,"4.4",37.4,3153627,398907,36879,535,"(0) Law provision is not present"
"Alaska        ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Alaska","Alaska",2,2005,2005,"Firearm","GRINJ-006",21,162525,"12.9",33.9,443874,66674,56234,832,"(0) Law provision is not present"
"Arizona       ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Arizona","Arizona",4,2005,2005,"Firearm","GRINJ-006",78,1260510,"6.2",34.5,4440804,601547,44282,717,"(0) Law provision is not present"
"Arkansas      ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Arkansas","Arkansas",5,2005,2005,"Firearm","GRINJ-006",43,588369,"7.3",37,2135069,223069,34999,549,"(0) Law provision is not present"
"California    ",2005,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","2005_California","California",6,2005,2005,"Firearm","GRINJ-006",136,8107442,"1.7",34.4,21491336,4215208,53629,973,"(1) Law provision is present"
"Colorado      ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Colorado","Colorado",8,2005,2005,"Firearm","GRINJ-006",55,993329,"5.5",34.7,3809054,685481,50652,757,"(0) Law provision is not present"
"Florida       ",2005,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","2005_Florida","Florida",12,2005,2005,"Firearm","GRINJ-006",99,3488100,"2.8",39.5,13341532,1936734,42433,809,"(1) Law provision is present"
"Georgia       ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Georgia","Georgia",13,2005,2005,"Firearm","GRINJ-006",65,1960630,"3.3",34.3,5516920,992829,45604,709,"(0) Law provision is not present"
"Idaho         ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Idaho","Idaho",16,2005,2005,"Firearm","GRINJ-006",21,330663,"6.4",34.6,1281279,139596,41443,594,"(0) Law provision is not present"
"Illinois      ",2005,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","2005_Illinois","Illinois",17,2005,2005,"Firearm","GRINJ-006",37,2725450,"1.4",35.6,8986032,1480111,50260,734,"(1) Law provision is present"
"Indiana       ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Indiana","Indiana",18,2005,2005,"Firearm","GRINJ-006",57,1371308,"4.2",36.1,5247604,534551,43993,615,"(0) Law provision is not present"
"Iowa          ",2005,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","2005_Iowa","Iowa",19,2005,2005,"Firearm","GRINJ-006",24,649119,"3.7",38.6,2675878,317164,43609,559,"(1) Law provision is present"
"Kansas        ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Kansas","Kansas",20,2005,2005,"Firearm","GRINJ-006",22,618515,"3.6",36.1,2269482,320356,42920,588,"(0) Law provision is not present"
"Kentucky      ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Kentucky","Kentucky",21,2005,2005,"Firearm","GRINJ-006",36,874321,"4.1",37.5,3646690,312484,37369,527,"(0) Law provision is not present"
"Louisiana     ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Louisiana","Louisiana",22,2005,2005,"Firearm","GRINJ-006",68,1046243,"6.5",35.4,2795263,375088,36729,569,"(0) Law provision is not present"
"Maryland      ",2005,"(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","2005_Maryland","Maryland",24,2005,2005,"Firearm","GRINJ-006",25,1174530,"2.1",37.1,3356489,691771,61592,891,"(1) Law provision is present"
"Michigan      ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Michigan","Michigan",26,2005,2005,"Firearm","GRINJ-006",56,2192209,"2.6",36.9,7890608,977313,46039,655,"(0) Law provision is not present"
"Minnesota     ",2005,"(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","2005_Minnesota","Minnesota",27,2005,2005,"Firearm","GRINJ-006",44,1113687,"4.0",36.7,4390040,690482,52024,692,"(1) Law provision is present"
"Mississippi   ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Mississippi","Mississippi",28,2005,2005,"Firearm","GRINJ-006",32,665484,"4.8",35.5,1716444,218351,32938,538,"(0) Law provision is not present"
"Missouri      ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Missouri","Missouri",29,2005,2005,"Firearm","GRINJ-006",50,1251379,"4.0",37.4,4760327,572749,41974,593,"(0) Law provision is not present"
"Montana       ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Montana","Montana",30,2005,2005,"Firearm","GRINJ-006",21,205745,"10.2",40.2,824721,114067,39301,552,"(0) Law provision is not present"
"Nebraska      ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Nebraska","Nebraska",31,2005,2005,"Firearm","GRINJ-006",19,394534,"Unreliable",36.2,1529471,208864,43849,569,"(0) Law provision is not present"
"Nevada        ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Nevada","Nevada",32,2005,2005,"Firearm","GRINJ-006",30,492854,"6.1",35.2,1811535,218353,49169,861,"(0) Law provision is not present"
"New Jersey    ",2005,"(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","2005_NewJersey","New Jersey",34,2005,2005,"Firearm","GRINJ-006",14,1710922,"Unreliable",38,5954926,1232096,61672,935,"(1) Law provision is present"
"New Mexico    ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_NewMexico","New Mexico",35,2005,2005,"Firearm","GRINJ-006",30,438338,"6.8",36.2,1311829,172004,37492,587,"(0) Law provision is not present"
"New York      ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_NewYork","New York",36,2005,2005,"Firearm","GRINJ-006",53,4008708,"1.3",37.5,12508643,2243704,49480,841,"(0) Law provision is not present"
"North Carolina",2005,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","2005_NorthCarolina","North Carolina",37,2005,2005,"Firearm","GRINJ-006",72,1816270,"4.0",36.2,6005471,951509,40729,635,"(1) Law provision is present"
"North Dakota  ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_NorthDakota","North Dakota",38,2005,2005,"Firearm","GRINJ-006",15,155755,"Unreliable",39.1,557952,77591,41030,479,"(0) Law provision is not present"
"Ohio          ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Ohio","Ohio",39,2005,2005,"Firearm","GRINJ-006",71,2417660,"2.9",37.6,9408020,1094740,43493,613,"(0) Law provision is not present"
"Oklahoma      ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Oklahoma","Oklahoma",40,2005,2005,"Firearm","GRINJ-006",40,786493,"5.1",36.5,2589660,341041,37063,547,"(0) Law provision is not present"
"Oregon        ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Oregon","Oregon",41,2005,2005,"Firearm","GRINJ-006",42,745605,"5.6",37,3089729,423469,42944,689,"(0) Law provision is not present"
"Pennsylvania  ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Pennsylvania","Pennsylvania",42,2005,2005,"Firearm","GRINJ-006",71,2575180,"2.8",39.7,10132144,1300563,44537,647,"(0) Law provision is not present"
"South Carolina",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_SouthCarolina","South Carolina",45,2005,2005,"Firearm","GRINJ-006",42,920525,"4.6",37.1,2774429,409744,39316,611,"(0) Law provision is not present"
"South Dakota  ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_SouthDakota","South Dakota",46,2005,2005,"Firearm","GRINJ-006",16,175678,"Unreliable",37,656165,85688,40310,500,"(0) Law provision is not present"
"Tennessee     ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Tennessee","Tennessee",47,2005,2005,"Firearm","GRINJ-006",58,1244537,"4.7",37.3,4625715,552189,38874,583,"(0) Law provision is not present"
"Texas         ",2005,"(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","2005_Texas","Texas",48,2005,2005,"Firearm","GRINJ-006",199,5240177,"3.8",33.2,16021256,2335267,42139,671,"(1) Law provision is present"
"Utah          ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Utah","Utah",49,2005,2005,"Firearm","GRINJ-006",32,649130,"4.9",28.5,2178777,266352,47934,665,"(0) Law provision is not present"
"Virginia      ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Virginia","Virginia",51,2005,2005,"Firearm","GRINJ-006",52,1607519,"3.2",37.2,5259281,964059,54240,812,"(0) Law provision is not present"
"Washington    ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_Washington","Washington",53,2005,2005,"Firearm","GRINJ-006",50,1337393,"3.7",36.7,4988017,800293,49262,741,"(0) Law provision is not present"
"West Virginia ",2005,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2005_WestVirginia","West Virginia",54,2005,2005,"Firearm","GRINJ-006",20,354328,"5.6",40.7,1682489,126013,33452,483,"(0) Law provision is not present"
"Wisconsin     ",2005,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","2005_Wisconsin","Wisconsin",55,2005,2005,"Firearm","GRINJ-006",42,1208575,"3.5",37.9,4734357,602795,47105,643,"(1) Law provision is present"
"Alabama       ",2006,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2006_Alabama","Alabama",1,2006,2006,"Firearm","GRINJ-006",53,985109,"5.4",37.2,3237958,403122,38783,573,"(0) Law provision is not present"
"Alaska        ",2006,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2006_Alaska","Alaska",2,2006,2006,"Firearm","GRINJ-006",21,162445,"12.9",33.5,460170,72258,59393,883,"(0) Law provision is not present"
"Arizona       ",2006,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2006_Arizona","Arizona",4,2006,2006,"Firearm","GRINJ-006",94,1290068,"7.3",34.6,4741310,643182,47265,762,"(0) Law provision is not present"
"Arkansas      ",2006,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2006_Arkansas","Arkansas",5,2006,2006,"Firearm","GRINJ-006",24,589937,"4.1",37.1,2208224,221233,36599,566,"(0) Law provision is not present"
"California    ",2006,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","2006_California","California",6,2006,2006,"Firearm","GRINJ-006",148,8123971,"1.8",34.4,21810156,4311428,56645,1029,"(1) Law provision is present"
"Colorado      ",2006,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2006_Colorado","Colorado",8,2006,2006,"Firearm","GRINJ-006",65,1000759,"6.5",35.4,3934971,685736,52015,780,"(0) Law provision is not present"
"Florida       ",2006,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","2006_Florida","Florida",12,2006,2006,"Firearm","GRINJ-006",109,3546714,"3.1",39.8,13767248,2044646,45495,872,"(1) Law provision is present"
"Georgia       ",2006,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2006_Georgia","Georgia",13,2006,2006,"Firearm","GRINJ-006",54,1998782,"2.7",34.6,5816513,1035445,46832,738,"(0) Law provision is not present"
"Idaho         ",2006,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2006_Idaho","Idaho",16,2006,2006,"Firearm","GRINJ-006",25,334034,"7.5",34.3,1357129,148953,42865,623,"(0) Law provision is not present"
"Illinois      ",2006,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","2006_Illinois","Illinois",17,2006,2006,"Firearm","GRINJ-006",40,2718190,"1.5",35.7,9074653,1505856,52006,761,"(1) Law provision is present"
