"STATE","YEAR","CAPLIABILITY","CAPACCESS","CAPUSES","CAPUNLOADED","CAP18","CAP16","CAP14","state_year","State","State.Code","Year","Year.Code","UCD...Injury.Mechanism...All.Other.Leading.Causes","UCD...Injury.Mechanism...All.Other.Leading.Causes.Code","Deaths","Population","Crude.Rate","Median_Age","White_Pop","Bachelors_Degree","Median_Income","Median_Rent","CAP_Law_Present"
"Maryland      ",1999,"(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","1999_Maryland","Maryland",24,1999,1999,"Firearm","GRINJ-006",37,1041603,"3.6",36.4416666666667,3481078.56428571,596040.315476198,53880.2952380958,733.904761904778,"(1) Law provision is present"
"Massachusetts ",1999,"(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","1999_Massachusetts","Massachusetts",25,1999,1999,"Firearm","GRINJ-006",17,1227425,"Unreliable",38.0613366645846,5331226.86071206,762192.904434733,44474.4347282955,671.931917551541,"(1) Law provision is present"
"Michigan      ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Michigan","Michigan",26,1999,1999,"Firearm","GRINJ-006",80,2094679,"3.8",36.2265476190477,8051565.23690476,837649.719047628,39021.0083333338,558.39166666667,"(0) Law provision is not present"
"Minnesota     ",1999,"(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","1999_Minnesota","Minnesota",27,1999,1999,"Firearm","GRINJ-006",51,1059241,"4.8",36.2907142857143,4465460.14285714,576986.159523822,42540.9107142859,529.833333333336,"(1) Law provision is present"
"Mississippi   ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Mississippi","Mississippi",28,1999,1999,"Firearm","GRINJ-006",35,664896,"5.3",33.7225000000001,1755482.14404762,197511.978571429,28574.1952380955,485.791666666672,"(0) Law provision is not present"
"Missouri      ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Missouri","Missouri",29,1999,1999,"Firearm","GRINJ-006",70,1186169,"5.9",36.5969047619048,4828765.60119048,493202.71428572,35693.6785714289,490.007142857139,"(0) Law provision is not present"
"Montana       ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Montana","Montana",30,1999,1999,"Firearm","GRINJ-006",21,199220,"10.5",39.1082142857143,793713.191666668,91275.1821428584,31836.1952380957,435.646428571439,"(0) Law provision is not present"
"Nebraska      ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Nebraska","Nebraska",31,1999,1999,"Firearm","GRINJ-006",23,382969,"6.0",35.7474093264249,1495779.79067358,170307.710362695,36254.0875647669,448.441450777202,"(0) Law provision is not present"
"Nevada        ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Nevada","Nevada",32,1999,1999,"Firearm","GRINJ-006",30,378463,"7.9",33.7226190476191,1865246.23928571,158272.923809528,47145.5821428574,820.210714285713,"(0) Law provision is not present"
"New Hampshire ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_NewHampshire","New Hampshire",33,1999,1999,"Firearm","GRINJ-006",12,244257,"Unreliable",38.3410628019325,1229661.18357488,145140.065217393,42027.1570048314,705.089371980685,"(0) Law provision is not present"
"New Jersey    ",1999,"(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","1999_NewJersey","New Jersey",34,1999,1999,"Firearm","GRINJ-006",20,1574266,"1.3",37.304880952381,6107490.79999999,1048514.8404762,53853.7107142867,794.313095238111,"(1) Law provision is present"
"New Mexico    ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_NewMexico","New Mexico",35,1999,1999,"Firearm","GRINJ-006",39,413253,"9.4",34.2167857142859,1252559.25357144,154638.471428573,34941.1380952382,499.530952380956,"(0) Law provision is not present"
"New York      ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_NewYork","New York",36,1999,1999,"Firearm","GRINJ-006",64,3808590,"1.7",36.8376190476191,13120689.8797619,1949596.22023812,41126.0238095238,654.027380952401,"(0) Law provision is not present"
"North Carolina",1999,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","1999_NorthCarolina","North Carolina",37,1999,1999,"Firearm","GRINJ-006",95,1635716,"5.8",35.0857142857143,5781792.377381,706099.308333337,34906.8809523815,513.563095238103,"(1) Law provision is present"
"North Dakota  ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_NorthDakota","North Dakota",38,1999,1999,"Firearm","GRINJ-006",10,152095,"Unreliable",39.2562417871223,524099.387647834,58544.0473061763,29906.5354796317,315.373193166888,"(0) Law provision is not present"
"Ohio          ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Ohio","Ohio",39,1999,1999,"Firearm","GRINJ-006",85,2368395,"3.6",36.9477380952382,9678748.41190476,936016.33214286,37045.7011904763,533.1261904762,"(0) Law provision is not present"
"Oklahoma      ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Oklahoma","Oklahoma",40,1999,1999,"Firearm","GRINJ-006",51,767811,"6.6",35.8339285714286,2594037.01309524,289457.453571433,31211.6964285718,444.028571428571,"(0) Law provision is not present"
"Oregon        ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Oregon","Oregon",41,1999,1999,"Firearm","GRINJ-006",41,710363,"5.8",36.4314285714286,2973400.30476192,328659.191666674,34152.9500000007,466.85595238096,"(0) Law provision is not present"
"Pennsylvania  ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Pennsylvania","Pennsylvania",42,1999,1999,"Firearm","GRINJ-006",95,2445343,"3.9",39.0963095238096,10471272.4059524,1072565.11547621,37627.8452380956,523.114285714291,"(0) Law provision is not present"
"South Carolina",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_SouthCarolina","South Carolina",45,1999,1999,"Firearm","GRINJ-006",39,859275,"4.5",35.6465476190477,2612078.91785717,299194.092857152,33315.1642857147,486.621428571438,"(0) Law provision is not present"
"South Dakota  ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_SouthDakota","South Dakota",46,1999,1999,"Firearm","GRINJ-006",17,174443,"Unreliable",37.1300606729178,645432.311638169,71903.0882515172,33154.2068394925,386.555432984009,"(0) Law provision is not present"
"Tennessee     ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Tennessee","Tennessee",47,1999,1999,"Firearm","GRINJ-006",61,1164787,"5.2",36.5338095238096,4528907.98214287,428118.380952388,32027.635714286,465.354761904775,"(0) Law provision is not present"
"Texas         ",1999,"(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","1999_Texas","Texas",48,1999,1999,"Firearm","GRINJ-006",198,4729821,"4.2",31.9580952380953,14195705.8035716,1669697.002381,35209.0035714288,504.410714285725,"(1) Law provision is present"
"Utah          ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Utah","Utah",49,1999,1999,"Firearm","GRINJ-006",33,628595,"5.2",26.824523809524,2076469.51904762,186365.447619051,38624.3416666668,504.036904761917,"(0) Law provision is not present"
"Virginia      ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Virginia","Virginia",51,1999,1999,"Firearm","GRINJ-006",67,1434726,"4.7",36.282261904762,5217685.63333333,799736.129761912,46617.2773809531,665.10238095239,"(0) Law provision is not present"
"Washington    ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Washington","Washington",53,1999,1999,"Firearm","GRINJ-006",72,1235789,"5.8",36.3417857142857,4864198.10357143,604847.475000009,38663.245238096,473.102380952376,"(0) Law provision is not present"
"West Virginia ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_WestVirginia","West Virginia",54,1999,1999,"Firearm","GRINJ-006",22,367995,"6.0",39.2127380952381,1736458.25714286,109336.340476192,29091.9238095242,371.986904761907,"(0) Law provision is not present"
"Wisconsin     ",1999,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","1999_Wisconsin","Wisconsin",55,1999,1999,"Firearm","GRINJ-006",57,1162135,"4.9",36.8102380952382,4833455.21428572,502089.655952387,40355.9226190478,553.653571428575,"(1) Law provision is present"
"Wyoming       ",1999,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","1999_Wyoming","Wyoming",56,1999,1999,"Firearm","GRINJ-006",15,114878,"Unreliable",35.4692307692308,462248.923076923,43580.5384615385,43355.0769230768,516,"(0) Law provision is not present"
"Alabama       ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_Alabama","Alabama",1,2000,2000,"Firearm","GRINJ-006",46,951697,"4.8",35.8,3162808,351772,33903,447,"(0) Law provision is not present"
"Alaska        ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_Alaska","Alaska",2,2000,2000,"Firearm","GRINJ-006",37,146647,"25.2",32.4,434534,61196,51441,720,"(0) Law provision is not present"
"Arizona       ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_Arizona","Arizona",4,2000,2000,"Firearm","GRINJ-006",89,1108793,"8.0",34.2,3873611,493419,40388,619,"(0) Law provision is not present"
"Arkansas      ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_Arkansas","Arkansas",5,2000,2000,"Firearm","GRINJ-006",37,573298,"6.5",36,2138598,190427,32097,453,"(0) Law provision is not present"
"California    ",2000,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","2000_California","California",6,2000,2000,"Firearm","GRINJ-006",155,7402998,"2.1",33.3,20170059,3640157,47288,747,"(1) Law provision is present"
"Colorado      ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_Colorado","Colorado",8,2000,2000,"Firearm","GRINJ-006",44,924973,"4.8",34.3,3560005,599028,47009,671,"(0) Law provision is not present"
"Connecticut   ",2000,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","2000_Connecticut","Connecticut",9,2000,2000,"Firearm","GRINJ-006",11,645785,"Unreliable",37.4,2780355,416751,53736,681,"(1) Law provision is present"
"Florida       ",2000,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","2000_Florida","Florida",12,2000,2000,"Firearm","GRINJ-006",106,2999401,"3.5",38.7,12465029,1573121,38665,641,"(1) Law provision is present"
"Georgia       ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_Georgia","Georgia",13,2000,2000,"Firearm","GRINJ-006",96,1796232,"5.3",33.4,5327281,829873,42288,613,"(0) Law provision is not present"
"Idaho         ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_Idaho","Idaho",16,2000,2000,"Firearm","GRINJ-006",17,309460,"Unreliable",33.2,1177304,116901,37570,515,"(0) Law provision is not present"
"Illinois      ",2000,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","2000_Illinois","Illinois",17,2000,2000,"Firearm","GRINJ-006",64,2649942,"2.4",34.7,9125471,1317182,46304,605,"(1) Law provision is present"
"Indiana       ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_Indiana","Indiana",18,2000,2000,"Firearm","GRINJ-006",76,1322629,"5.7",35.2,5320022,475247,41425,521,"(0) Law provision is not present"
"Iowa          ",2000,"(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(1) Law provision is present","2000_Iowa","Iowa",19,2000,2000,"Firearm","GRINJ-006",29,640630,"4.5",36.6,2748640,278350,39358,470,"(1) Law provision is present"
"Kansas        ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_Kansas","Kansas",20,2000,2000,"Firearm","GRINJ-006",25,604303,"4.1",35.2,2313944,290271,40509,498,"(0) Law provision is not present"
"Kentucky      ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_Kentucky","Kentucky",21,2000,2000,"Firearm","GRINJ-006",52,851517,"6.1",35.9,3640889,271418,33549,445,"(0) Law provision is not present"
"Louisiana     ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_Louisiana","Louisiana",22,2000,2000,"Firearm","GRINJ-006",53,1039428,"5.1",34,2856161,339711,32427,466,"(0) Law provision is not present"
"Maine         ",2000,"(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","(0) Law provision is not present","2000_Maine","Maine",23,2000,2000,"Firearm","GRINJ-006",12,251393,"Unreliable",38.6,1236014,129992,37072,497,"(0) Law provision is not present"
"Maryland      ",2000,"(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(0) Law provision is not present","(1) Law provision is present","(1) Law provision is present","2000_Maryland","Maryland",24,2000,2000,"Firearm","GRINJ-006",38,1062383,"3.6",36,3391308,629304,52640,689,"(1) Law provision is present"
"Massachusetts ",2000,"(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","(1) Law provision is present","2000_Massachusetts","Massachusetts",25,2000,2000,"Firearm","GRINJ-006",12,1251263,"Unreliable",36.5,5367286,834554,50284,684,"(1) Law provision is present"
